AGER_TYP;ALTERSKATEGORIE_GROB;ANREDE_KZ;CJT_GESAMTTYP;FINANZ_MINIMALIST;FINANZ_SPARER;FINANZ_VORSORGER;FINANZ_ANLEGER;FINANZ_UNAUFFAELLIGER;FINANZ_HAUSBAUER;FINANZTYP;GEBURTSJAHR;GFK_URLAUBERTYP;GREEN_AVANTGARDE;HEALTH_TYP;LP_LEBENSPHASE_FEIN;LP_LEBENSPHASE_GROB;LP_FAMILIE_FEIN;LP_FAMILIE_GROB;LP_STATUS_FEIN;LP_STATUS_GROB;NATIONALITAET_KZ;PRAEGENDE_JUGENDJAHRE;RETOURTYP_BK_S;SEMIO_SOZ;SEMIO_FAM;SEMIO_REL;SEMIO_MAT;SEMIO_VERT;SEMIO_LUST;SEMIO_ERL;SEMIO_KULT;SEMIO_RAT;SEMIO_KRIT;SEMIO_DOM;SEMIO_KAEM;SEMIO_PFLICHT;SEMIO_TRADV;SHOPPER_TYP;SOHO_KZ;TITEL_KZ;VERS_TYP;ZABEOTYP;ALTER_HH;ANZ_PERSONEN;ANZ_TITEL;HH_EINKOMMEN_SCORE;KK_KUNDENTYP;W_KEIT_KIND_HH;WOHNDAUER_2008;ANZ_HAUSHALTE_AKTIV;ANZ_HH_TITEL;GEBAEUDETYP;KONSUMNAEHE;MIN_GEBAEUDEJAHR;OST_WEST_KZ;WOHNLAGE;CAMEO_DEUG_2015;CAMEO_DEU_2015;CAMEO_INTL_2015;KBA05_ANTG1;KBA05_ANTG2;KBA05_ANTG3;KBA05_ANTG4;KBA05_BAUMAX;KBA05_GBZ;BALLRAUM;EWDICHTE;INNENSTADT;GEBAEUDETYP_RASTER;KKK;MOBI_REGIO;ONLINE_AFFINITAET;REGIOTYP;KBA13_ANZAHL_PKW;PLZ8_ANTG1;PLZ8_ANTG2;PLZ8_ANTG3;PLZ8_ANTG4;PLZ8_BAUMAX;PLZ8_HHZ;PLZ8_GBZ;ARBEIT;ORTSGR_KLS9;RELAT_AB
0;3;2;1;2;2;5;3;1;5;6;1941;8;0;2;6;2;1;1;1;1;1;3;5;5;2;3;5;5;6;6;1;4;7;4;7;5;3;2;0;0;2;3;10;1;0;6;;6;9;6;0;1;4;1992;W;5;9;9D;51;0;4;1;0;2;2;6;4;4;5;4;1;1;7;424;2;4;2;0;2;3;3;4;6;5
-1;2;1;6;3;4;3;5;5;3;4;0;5;0;-1;0;0;0;0;5;2;0;0;3;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
-1;3;1;6;5;3;4;2;4;1;3;0;10;0;1;23;6;5;3;9;4;1;8;5;3;4;4;6;7;6;4;5;5;5;2;4;4;2;1;0;0;1;1;21;2;0;4;3;6;4;1;0;1;5;2005;W;3;6;6B;43;;;;;;;2;5;4;4;3;;4;7;1106;3;3;1;0;1;5;5;3;6;4
-1;1;2;5;1;4;3;5;5;2;1;1993;12;1;3;3;1;1;1;5;2;1;15;1;2;4;5;4;1;2;4;3;6;7;6;4;5;6;3;0;0;2;5;20;1;0;3;4;6;3;2;0;1;5;2009;W;5;5;5C;33;;;;;;;7;2;8;4;;;5;;486;2;1;1;1;1;3;3;3;6;4
-1;3;1;6;3;4;3;5;5;3;4;0;5;0;-1;0;0;0;0;5;2;0;0;3;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
1;4;2;4;4;1;5;1;1;4;2;1946;12;0;2;12;3;1;1;8;4;1;5;5;5;2;2;5;2;7;7;1;3;6;5;6;3;3;1;0;0;2;3;11;1;0;5;;6;4;1;0;8;1;1992;W;3;8;8B;41;0;2;2;0;0;3;1;6;2;3;3;2;2;7;;;;;;;;;4;8;5
-1;1;2;1;4;3;1;4;5;1;3;1988;10;0;3;0;0;0;0;8;4;3;14;1;1;4;5;4;2;2;4;5;7;4;4;4;6;6;2;0;0;2;5;19;0;0;5;;;3;0;0;2;5;1994;W;7;7;7A;41;3;3;0;0;1;3;6;2;6;4;3;3;3;5;876;3;3;1;0;1;3;4;1;2;1
-1;2;1;6;3;4;3;5;5;3;4;0;5;0;-1;0;0;0;0;5;2;0;0;3;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
-1;2;2;6;2;4;1;5;4;1;1;0;11;0;2;10;3;1;1;8;4;2;10;4;1;5;4;7;4;2;5;4;4;4;7;5;4;7;1;0;0;1;4;0;1;0;4;;0;5;2;0;1;2;1996;W;2;4;4C;24;2;1;0;0;0;5;6;3;8;4;0;5;3;0;387;2;3;2;1;1;3;3;3;4;3
-1;3;1;3;5;2;3;1;3;1;5;0;8;1;3;20;5;2;2;10;5;1;9;5;3;5;4;4;7;6;4;6;2;5;5;3;3;4;2;0;0;2;2;0;2;0;1;;5;6;1;0;8;1;1992;W;1;5;5D;34;1;3;0;0;5;3;6;6;6;3;1;3;1;3;621;2;4;2;1;2;5;4;4;6;3
-1;2;2;4;4;3;1;4;5;1;3;0;11;1;3;10;3;1;1;10;5;1;11;5;2;5;4;3;2;2;5;3;6;7;6;5;5;7;1;0;0;1;3;0;1;0;2;;3;4;1;0;3;5;2002;W;5;4;4C;24;1;0;0;0;0;5;5;2;6;1;;5;3;;;;;;;;;;3;4;1
-1;2;1;3;3;4;1;2;5;1;3;0;11;0;2;10;3;1;1;10;5;1;10;3;7;7;6;7;7;2;2;7;4;2;2;2;7;5;1;0;0;2;4;0;1;0;5;;5;9;2;0;1;1;1992;W;4;9;9E;55;1;3;0;0;0;3;2;6;3;3;4;3;2;6;694;1;4;3;2;4;4;3;5;7;5
-1;1;1;4;1;5;3;5;5;5;1;0;4;0;2;1;1;1;1;2;1;1;14;1;7;7;7;5;6;3;2;7;4;2;2;2;7;5;1;0;0;2;4;0;1;0;6;;6;4;14;0;3;1;1992;W;4;9;9D;51;1;3;0;0;0;3;3;4;5;4;4;2;3;7;537;2;4;2;1;2;4;3;4;5;5
-1;3;1;3;5;3;3;2;2;1;6;0;12;1;3;20;5;2;2;10;5;2;9;5;4;5;4;1;5;1;4;6;2;5;5;3;5;4;0;0;0;2;4;16;2;0;4;3;3;2;1;0;1;3;1992;W;3;6;6B;43;4;1;0;0;1;4;2;5;5;4;2;3;4;6;;;;;;;;;3;6;2
-1;3;2;6;3;4;3;5;5;3;4;0;5;0;-1;0;0;0;0;5;2;0;0;3;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
-1;1;1;3;3;5;3;5;4;3;4;1991;1;0;2;0;0;0;0;8;4;1;14;1;7;7;7;5;7;2;1;7;4;2;1;2;7;5;0;0;0;2;5;20;0;0;5;;;3;1;0;1;5;1992;W;7;5;5C;33;1;2;0;0;0;5;7;1;8;4;3;4;3;6;1500;2;2;0;0;1;4;5;3;2;5
-1;3;1;3;5;2;4;2;3;1;3;0;2;0;1;11;3;1;1;8;4;1;8;3;3;6;4;6;7;1;4;5;5;5;2;3;4;4;1;0;0;1;1;0;1;0;2;6;3;3;1;0;1;5;2015;W;7;;;;;;;;;;7;3;7;5;;;3;;;;;;;;;;4;3;5
-1;3;1;4;3;3;4;1;2;2;5;0;8;1;3;25;7;7;4;3;2;1;11;1;3;5;4;1;5;6;4;6;2;5;5;3;3;4;0;0;0;2;4;16;2;0;4;;1;3;6;0;1;2;1994;W;3;9;9B;51;2;1;0;0;0;4;1;6;2;3;2;4;5;3;711;2;3;3;2;4;5;3;4;7;5
-1;3;1;2;3;2;4;3;3;2;3;1966;1;0;3;5;2;1;1;1;1;1;10;4;6;6;4;4;7;6;4;5;2;5;5;3;3;4;1;0;0;2;6;15;1;0;6;;5;8;3;0;1;5;1992;W;5;1;1A;13;1;2;0;0;0;3;4;2;5;4;4;5;0;6;1300;3;3;1;0;1;5;5;3;4;1
2;4;2;1;5;1;5;2;1;3;6;1949;5;1;2;13;3;1;1;10;5;1;6;2;5;1;2;3;4;4;7;1;3;4;5;6;4;4;1;0;0;2;1;11;1;0;2;;6;8;1;0;1;4;1994;W;3;2;2A;12;4;1;0;0;1;5;5;4;5;5;0;5;2;0;545;3;2;2;0;1;3;4;2;4;3
-1;3;2;3;4;3;4;4;4;1;3;0;11;0;2;7;2;1;1;4;2;1;8;2;2;1;1;2;4;1;6;1;4;7;6;7;4;3;3;0;0;2;3;0;1;0;;;0;9;;;;5;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
-1;2;2;6;1;5;2;3;5;4;1;0;1;0;1;2;1;1;1;1;1;1;10;1;4;2;5;7;3;1;5;5;7;4;7;7;6;7;1;0;0;1;4;0;1;0;6;;6;9;11;0;8;1;1992;W;2;9;9D;51;0;3;3;0;3;2;1;6;1;3;3;1;2;7;348;1;3;3;2;5;4;2;4;8;5
-1;1;1;4;5;4;2;3;4;1;3;1982;10;1;1;18;5;2;2;10;5;1;15;1;7;7;7;5;6;3;2;7;1;1;1;1;7;5;0;0;0;1;1;19;2;0;1;;6;9;1;0;1;2;1992;W;7;1;1B;14;4;1;0;0;1;4;6;3;5;4;2;3;3;3;452;2;3;1;0;1;3;4;4;3;5
-1;2;2;4;2;2;4;1;3;4;5;1963;5;0;2;31;10;11;5;1;1;2;8;3;2;5;4;7;2;2;5;2;6;5;7;7;5;7;1;0;0;2;3;20;4;0;4;;4;9;3;0;8;1;1992;W;1;8;8B;41;1;3;0;0;5;3;1;6;2;3;1;2;2;1;439;1;3;2;1;5;5;3;3;8;5
3;1;2;2;4;1;5;1;2;3;2;1943;5;1;-1;13;3;1;1;10;5;0;4;5;2;4;7;4;1;7;7;3;6;6;5;6;6;3;-1;0;0;-1;1;10;1;0;2;;6;5;1;0;1;3;1992;W;3;3;3D;25;3;0;0;0;1;4;1;5;2;5;2;3;2;5;758;2;3;2;1;1;3;3;4;7;5
-1;2;2;2;3;4;3;5;5;3;4;0;7;0;-1;19;5;2;2;9;4;0;0;3;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;
-1;3;2;2;2;3;4;3;2;3;6;0;5;0;2;5;2;1;1;1;1;1;8;5;5;2;3;2;2;1;6;1;4;7;7;7;5;2;2;0;0;2;3;0;1;0;5;;3;9;13;0;1;2;1992;W;3;7;7A;41;0;0;3;0;3;3;1;5;4;3;3;2;0;5;442;2;3;2;1;1;3;3;4;9;4
2;4;1;2;5;1;5;1;1;3;6;1957;5;0;2;38;12;10;5;9;4;1;8;5;3;6;3;2;6;7;7;4;3;3;3;2;2;4;2;0;0;2;1;20;3;0;3;;2;9;1;0;1;3;1992;W;4;4;4C;24;3;1;0;0;1;4;6;2;6;5;3;4;2;5;469;4;2;1;0;1;3;4;3;5;2
-1;2;2;6;3;3;1;4;4;2;4;0;1;0;2;10;3;1;1;9;4;2;10;1;2;5;4;7;2;2;5;5;7;7;7;5;7;7;1;0;0;1;4;0;1;0;5;;3;9;2;0;1;3;1992;W;3;3;3D;25;4;2;0;0;1;4;6;3;8;5;4;3;2;4;442;4;2;0;0;1;3;4;3;5;2
-1;4;1;4;5;3;4;3;1;1;6;1972;10;1;2;35;11;11;5;10;5;1;11;2;6;6;3;6;6;5;3;6;3;1;3;2;3;1;0;0;0;1;1;16;3;0;2;3;1;9;1;0;1;5;1996;W;2;;;;3;1;0;0;1;4;6;3;6;4;;4;5;;670;2;3;2;1;1;4;4;3;5;3
-1;4;2;1;3;2;5;2;1;5;6;0;4;0;1;8;2;1;1;4;2;1;0;2;2;1;1;2;2;5;7;1;3;7;5;5;2;1;1;0;0;1;3;0;1;0;6;;6;9;3;0;3;5;1992;W;3;;;;2;2;0;0;0;4;6;3;6;4;4;4;0;6;203;3;2;1;0;1;2;3;3;5;3
-1;1;2;3;2;5;3;5;5;2;1;1990;9;1;3;30;9;10;5;5;2;1;15;4;1;4;4;4;1;2;2;3;6;7;7;6;6;6;2;0;0;2;2;20;5;0;2;1;2;9;1;0;1;3;1992;W;2;4;4E;25;4;1;0;0;1;4;2;4;4;3;2;5;5;2;635;3;2;1;0;1;4;5;3;5;2
-1;1;2;5;3;4;2;5;4;2;3;1985;10;0;3;10;3;1;1;8;4;1;14;1;3;4;4;4;4;2;4;4;4;7;4;4;4;6;0;0;0;2;1;19;1;0;3;6;6;3;2;0;1;5;1994;W;7;4;4B;23;3;1;0;0;1;4;6;2;5;5;0;5;5;0;309;4;3;1;0;1;2;3;3;3;1
-1;1;2;4;1;5;3;5;5;5;1;1989;10;0;3;1;1;1;1;2;1;1;14;1;1;4;4;4;1;3;2;3;6;6;7;6;6;6;2;0;0;1;5;19;1;0;6;2;6;4;4;0;1;3;1992;W;2;4;4E;25;1;2;1;0;0;3;6;5;3;3;2;3;5;3;463;2;3;1;0;1;4;4;3;7;2
-1;3;2;4;3;2;4;4;2;2;6;1964;11;0;3;7;2;1;1;4;2;1;8;2;2;1;3;2;2;4;6;3;4;4;4;5;4;2;3;0;0;1;3;14;1;0;5;;4;6;4;0;3;5;1992;W;7;3;3C;24;1;2;0;0;0;4;6;2;6;3;3;3;3;6;352;3;2;1;0;1;2;3;1;1;1
1;4;2;2;5;1;5;2;1;2;2;1948;7;0;2;38;12;11;5;9;4;1;5;3;2;1;2;1;3;7;7;2;3;4;4;5;2;3;3;0;0;1;4;21;5;0;4;3;1;9;1;0;1;5;1996;W;7;7;7A;41;2;1;0;0;0;5;7;2;8;5;3;5;3;5;1300;3;2;1;0;1;5;5;3;2;3
-1;9;2;3;2;4;3;5;5;4;1;0;1;0;-1;0;0;1;1;2;1;1;8;5;2;1;5;4;4;2;7;3;6;7;6;7;4;1;-1;0;0;-1;3;0;1;0;;;0;9;;;;4;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;
2;4;2;2;4;1;5;1;2;3;5;1935;12;1;2;6;2;1;1;1;1;1;4;5;2;1;1;3;4;7;7;2;2;6;5;5;4;3;3;0;0;1;3;9;1;0;3;;6;9;2;0;1;4;1992;W;2;3;3D;25;3;2;0;0;1;3;3;2;5;4;2;4;1;2;524;2;3;2;1;1;3;3;3;5;3
-1;3;2;6;3;4;3;5;5;3;4;0;5;0;-1;0;0;0;0;5;2;0;0;3;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
-1;2;1;6;4;5;1;4;4;2;4;0;12;0;3;10;3;1;1;9;4;2;10;1;7;7;6;7;6;6;3;7;4;5;4;1;6;5;1;0;0;1;1;0;1;0;6;;4;9;1;0;8;4;1992;W;3;6;6B;43;0;3;3;0;3;2;3;3;5;4;2;2;2;2;891;3;2;1;0;1;4;5;3;4;2
-1;3;1;6;2;5;2;4;5;2;1;0;1;0;3;4;1;1;1;4;2;1;14;4;4;6;4;4;5;6;4;5;2;5;5;2;4;2;2;0;0;2;5;17;1;0;5;;5;9;6;0;8;6;1992;W;7;6;6B;43;2;1;0;0;0;5;4;2;6;5;3;3;2;6;444;2;3;0;1;1;3;4;2;1;1
-1;1;1;5;2;5;3;5;5;2;1;1997;12;1;1;22;6;5;3;5;2;1;15;4;7;7;7;5;6;2;2;7;5;1;1;1;5;5;0;0;0;1;1;21;3;0;4;2;1;6;2;0;1;6;1992;W;7;5;5A;31;3;1;0;0;1;5;5;2;5;4;1;4;5;2;652;3;3;1;0;1;4;4;3;3;3
-1;1;2;1;1;4;2;2;4;3;1;1988;10;0;3;14;4;2;2;1;1;1;14;2;1;4;4;3;1;2;4;2;6;5;6;6;5;6;2;0;0;2;4;19;1;0;5;1;6;4;10;0;8;1;1992;W;4;8;8B;41;0;0;2;1;0;1;1;6;1;3;1;2;5;3;378;1;4;3;2;5;5;3;4;9;3
-1;2;1;3;3;4;3;5;5;3;4;0;9;0;-1;33;11;10;5;6;3;0;0;1;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;
-1;3;1;6;3;4;3;5;5;3;4;0;5;0;-1;0;0;0;0;5;2;0;0;3;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
-1;3;2;5;2;3;4;2;2;3;1;0;3;0;3;5;2;1;1;1;1;2;8;5;5;2;1;2;2;1;6;3;4;6;7;7;4;2;3;0;0;1;3;0;1;0;6;;4;8;9;0;8;3;1992;W;3;9;9B;51;1;3;0;1;0;2;1;6;3;4;3;3;1;6;810;1;4;3;1;3;5;4;3;8;5
-1;2;1;2;4;3;1;3;4;1;3;0;3;1;3;35;11;10;5;10;5;1;11;1;7;7;6;7;7;3;3;7;5;2;4;1;6;5;0;0;0;2;1;18;4;0;3;3;2;9;2;0;8;4;1992;W;3;4;4A;22;4;1;0;0;1;4;7;2;6;5;2;5;5;2;594;3;2;1;0;1;4;5;3;3;4
-1;1;2;4;1;5;3;5;3;5;1;1994;9;0;3;29;9;10;5;2;1;2;14;1;5;4;5;4;2;2;2;5;7;4;4;6;6;6;0;0;0;2;5;0;2;0;5;;6;9;10;0;8;1;1994;W;5;7;7A;41;0;0;0;2;4;1;3;6;2;3;4;2;3;5;395;1;4;2;1;2;4;3;4;8;4
-1;2;2;4;3;3;1;3;5;2;4;1987;3;1;2;18;5;2;2;10;5;1;15;2;5;5;5;3;2;2;5;5;7;6;7;7;6;7;1;0;0;1;1;19;2;0;1;3;5;4;2;0;1;1;1992;W;3;6;6B;43;3;1;0;0;1;5;1;6;2;3;3;5;4;6;713;2;3;2;1;1;5;5;3;7;5
-1;2;1;4;2;5;2;4;3;3;1;0;10;0;3;2;1;1;1;1;1;2;10;1;7;7;6;7;6;3;1;7;5;5;4;2;6;5;2;0;0;1;4;0;1;0;6;;4;9;8;0;1;4;1992;W;4;7;7A;41;0;0;3;0;3;3;7;2;7;3;2;2;2;4;584;1;3;3;1;3;3;3;4;5;5
3;2;1;6;3;2;5;1;1;5;5;0;3;0;-1;7;2;1;1;3;2;0;8;5;4;6;7;5;4;5;3;4;5;4;4;4;7;4;-1;0;0;-1;6;13;1;0;5;;5;9;8;1;1;1;1992;W;2;8;8A;51;0;3;2;0;0;2;6;6;2;3;2;2;1;3;354;1;4;3;2;4;4;2;3;7;2
-1;3;2;6;3;4;3;5;5;3;4;0;1;0;-1;22;6;3;3;4;2;0;0;2;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;
-1;3;1;4;3;4;3;5;5;3;4;0;9;0;-1;1;1;1;1;2;1;0;0;1;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;
-1;2;1;4;2;4;1;1;5;4;1;1975;10;1;3;4;1;1;1;3;2;3;15;3;7;7;6;7;7;2;1;7;4;5;4;2;6;5;1;0;0;1;5;17;1;0;6;;6;2;11;0;3;1;1992;W;3;7;7B;41;1;0;0;1;5;2;1;5;3;2;2;2;3;7;633;1;4;3;2;5;4;3;3;9;4
-1;2;2;6;1;4;2;4;4;4;1;1975;2;0;2;0;0;0;0;2;1;1;14;3;2;5;7;7;2;1;5;6;7;7;7;5;6;7;2;0;0;1;5;17;0;0;6;;;8;6;0;1;4;1992;W;3;9;9A;52;0;0;3;0;3;2;4;2;5;4;4;2;2;5;961;3;3;2;0;1;4;4;4;6;4
-1;3;2;2;2;4;4;4;2;3;6;0;8;0;3;31;10;10;5;1;1;1;8;5;2;3;3;3;2;1;6;3;4;7;7;7;5;3;2;0;0;2;3;0;2;0;5;;4;9;7;0;1;2;1992;W;3;6;6B;43;2;3;0;0;0;3;7;4;7;4;2;3;0;6;363;2;4;2;0;2;3;3;4;4;5
-1;2;1;5;1;5;2;5;5;5;1;2002;12;0;3;24;7;8;4;2;1;2;14;1;7;7;6;7;6;3;2;7;1;2;2;3;7;5;2;0;0;2;4;21;3;0;6;3;1;9;44;0;3;3;1992;W;3;9;9A;52;0;0;0;2;4;1;2;5;4;4;3;1;5;5;886;2;4;2;1;2;4;3;3;5;3
1;3;1;3;5;1;5;1;1;2;5;1950;1;0;3;38;12;10;5;9;4;1;5;5;4;4;4;1;5;4;4;6;2;3;5;3;4;2;0;0;0;2;1;16;3;0;3;;2;9;1;0;1;2;1992;W;2;3;3D;25;4;0;0;0;1;4;6;5;8;4;3;5;3;5;385;4;2;1;0;1;3;4;4;5;5
1;4;2;5;5;1;5;2;1;4;6;1950;6;0;1;38;12;10;5;9;4;1;5;4;2;3;2;5;4;5;7;2;3;5;6;5;3;3;1;0;0;1;3;16;3;0;5;2;2;9;1;0;1;6;1992;W;7;3;3D;25;2;1;0;0;0;5;5;1;8;5;1;5;4;3;874;3;1;0;0;1;4;5;1;1;1
-1;3;2;6;3;4;3;5;5;3;4;0;5;0;-1;0;0;0;0;5;2;0;0;3;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
-1;3;1;6;5;4;4;2;2;1;6;1965;8;1;3;28;8;8;4;10;5;1;11;5;3;6;4;6;5;4;4;5;5;1;5;3;5;4;1;0;0;2;1;20;3;0;2;1;3;9;1;0;1;3;1992;W;2;4;4A;22;1;2;1;0;0;3;3;5;5;4;2;4;5;2;990;;;;;;;;2;5;3
-1;3;2;1;2;3;4;4;2;3;6;0;12;0;3;22;6;4;3;4;2;1;8;2;5;3;3;2;4;1;6;1;4;5;6;5;5;3;2;0;0;2;3;0;1;0;5;;1;9;25;1;3;3;1994;W;3;8;8B;41;0;0;0;2;5;1;5;3;8;4;1;1;2;1;666;2;3;2;1;1;4;3;3;4;3
-1;4;2;1;2;1;5;1;1;5;5;0;4;0;2;6;2;1;1;1;1;1;0;5;5;3;2;3;4;7;7;1;3;5;5;6;4;3;1;0;0;2;3;0;1;0;6;;6;9;36;1;3;1;1992;W;1;6;6D;35;1;0;0;1;0;1;6;5;4;1;1;1;0;1;380;3;2;1;0;1;3;3;3;7;3
